epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.263,1.26551,1.69369,1.15806,0.80963,0.74656,0.78225,0.44614,1.34028,1.07424,1.21168,0.000666149,0.000666149,0.000666149
2,1360.27,1.30172,1.02707,1.18594,0.83196,0.71033,0.79517,0.49973,1.29609,0.94809,1.21137,0.00129983,0.00129983,0.00129983
3,1954.74,1.28986,0.94665,1.18681,0.84985,0.76289,0.83484,0.51879,1.27924,0.84613,1.2053,0.00190051,0.00190051,0.00190051
4,2553.66,1.25252,0.88195,1.1721,0.86031,0.7901,0.84238,0.54092,1.22536,0.77495,1.17621,0.0018515,0.0018515,0.0018515
5,3145.66,1.22386,0.82153,1.15308,0.85926,0.80928,0.86961,0.57578,1.17707,0.69704,1.14876,0.001802,0.001802,0.001802
6,3736.94,1.20001,0.79636,1.14011,0.89355,0.81248,0.87843,0.58373,1.16222,0.67491,1.13725,0.0017525,0.0017525,0.0017525
7,4342.79,1.17152,0.75491,1.1248,0.89074,0.82016,0.88928,0.58779,1.16221,0.66888,1.13609,0.001703,0.001703,0.001703
8,4953.51,1.15951,0.74006,1.12816,0.89213,0.82904,0.89278,0.59993,1.13213,0.62203,1.11723,0.0016535,0.0016535,0.0016535
9,5563.26,1.1455,0.71402,1.1138,0.89454,0.83556,0.89437,0.59798,1.13601,0.62079,1.11934,0.001604,0.001604,0.001604
10,6168.08,1.1351,0.70553,1.11037,0.88088,0.85023,0.89622,0.60369,1.12487,0.63276,1.1072,0.0015545,0.0015545,0.0015545
11,6766.57,1.11841,0.67985,1.09963,0.89919,0.84033,0.90195,0.61538,1.10186,0.59847,1.10419,0.001505,0.001505,0.001505
12,7359.76,1.11085,0.66783,1.09721,0.89546,0.84628,0.90604,0.6164,1.10583,0.5926,1.09702,0.0014555,0.0014555,0.0014555
13,7951.65,1.09457,0.656,1.08805,0.90198,0.85968,0.91091,0.61968,1.09564,0.57384,1.10182,0.001406,0.001406,0.001406
14,8541.39,1.09542,0.64382,1.09191,0.89717,0.85338,0.91092,0.62531,1.08591,0.56209,1.08231,0.0013565,0.0013565,0.0013565
15,9132.37,1.0879,0.63685,1.08157,0.90713,0.83914,0.91034,0.62596,1.07093,0.5658,1.08293,0.001307,0.001307,0.001307
16,9722.81,1.08798,0.63029,1.08354,0.90162,0.85796,0.91491,0.63138,1.07671,0.55177,1.0839,0.0012575,0.0012575,0.0012575
17,10314.2,1.07433,0.61877,1.08065,0.89455,0.87257,0.91646,0.63326,1.07581,0.55229,1.07635,0.001208,0.001208,0.001208
18,10904.2,1.06641,0.6088,1.07095,0.91265,0.86171,0.92117,0.6372,1.06251,0.53482,1.06376,0.0011585,0.0011585,0.0011585
19,11497,1.05861,0.60346,1.0677,0.90483,0.86856,0.92191,0.63667,1.06664,0.52235,1.07843,0.001109,0.001109,0.001109
20,12088.2,1.04905,0.594,1.06795,0.91703,0.86722,0.92395,0.64412,1.04684,0.51736,1.06364,0.0010595,0.0010595,0.0010595
21,12685.6,1.04899,0.58811,1.06541,0.89854,0.88431,0.92667,0.64635,1.04443,0.51936,1.06218,0.00101,0.00101,0.00101
22,13277.9,1.03197,0.57785,1.06339,0.8925,0.88345,0.92336,0.64629,1.04268,0.50644,1.06025,0.0009605,0.0009605,0.0009605
23,13869.3,1.03636,0.57607,1.0627,0.90118,0.87482,0.92356,0.6463,1.03894,0.51237,1.05755,0.000911,0.000911,0.000911
24,14459.1,1.01967,0.55993,1.05202,0.91075,0.88257,0.92839,0.65051,1.03664,0.5051,1.04872,0.0008615,0.0008615,0.0008615
25,15050.8,1.02061,0.56039,1.0508,0.91244,0.87438,0.9232,0.65163,1.0319,0.49701,1.04835,0.000812,0.000812,0.000812
26,15641.3,1.02406,0.5582,1.05219,0.91322,0.87801,0.92978,0.65368,1.02542,0.49642,1.04836,0.0007625,0.0007625,0.0007625
27,16229.7,1.0207,0.55115,1.05112,0.90125,0.88517,0.92961,0.65499,1.02751,0.49018,1.04842,0.000713,0.000713,0.000713
28,16819.6,1.00102,0.53944,1.04377,0.91182,0.88116,0.9275,0.6562,1.02192,0.48891,1.04019,0.0006635,0.0006635,0.0006635
29,17410.4,0.99183,0.53263,1.03966,0.90876,0.87228,0.92791,0.65628,1.01825,0.48491,1.04121,0.000614,0.000614,0.000614
30,18006.5,0.99895,0.5308,1.04297,0.90646,0.88431,0.93291,0.65856,1.02092,0.48221,1.03905,0.0005645,0.0005645,0.0005645
31,18579.7,0.98152,0.48376,1.03686,0.9201,0.88116,0.93166,0.66235,1.01345,0.48063,1.03803,0.000515,0.000515,0.000515
32,19147.6,0.97157,0.47892,1.03447,0.91853,0.88142,0.93016,0.66592,1.00724,0.47838,1.03499,0.0004655,0.0004655,0.0004655
33,19714.1,0.96069,0.47022,1.03063,0.91919,0.88273,0.93206,0.66676,1.00078,0.4733,1.03161,0.000416,0.000416,0.000416
34,20282.4,0.95267,0.46254,1.02796,0.90876,0.887,0.93123,0.66665,1.00201,0.47208,1.03167,0.0003665,0.0003665,0.0003665
35,20863.9,0.94743,0.45389,1.02336,0.91784,0.88614,0.93505,0.66887,1.00018,0.46961,1.02924,0.000317,0.000317,0.000317
36,21449.5,0.94322,0.45406,1.0206,0.91319,0.8866,0.93065,0.66763,0.99769,0.46875,1.02631,0.0002675,0.0002675,0.0002675
37,22035,0.93255,0.44289,1.01508,0.91115,0.88774,0.93369,0.6718,0.98839,0.46475,1.02223,0.000218,0.000218,0.000218
38,22620.7,0.92446,0.43757,1.011,0.91348,0.89118,0.93491,0.67185,0.98812,0.4615,1.02224,0.0001685,0.0001685,0.0001685
39,23207.8,0.91967,0.43242,1.01131,0.91235,0.89132,0.93433,0.67402,0.98777,0.45732,1.02206,0.000119,0.000119,0.000119
40,23789.5,0.91601,0.43092,1.00601,0.91321,0.89185,0.93352,0.67472,0.98493,0.4585,1.01958,6.95e-05,6.95e-05,6.95e-05
