epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.817,1.26606,1.73569,1.20128,0.8038,0.68497,0.76026,0.46992,1.34484,1.03439,1.26299,0.000665631,0.000665631,0.000665631
2,870.945,1.29778,0.97122,1.227,0.83331,0.72846,0.78062,0.48773,1.3208,1.2876,1.29021,0.00126635,0.00126635,0.00126635
3,1273.75,1.2652,0.90963,1.20315,0.83081,0.75071,0.81974,0.522,1.27217,0.84321,1.23612,0.00180107,0.00180107,0.00180107
4,1670.15,1.22813,0.84749,1.18578,0.8476,0.80405,0.85286,0.56034,1.2139,0.7387,1.19891,0.001703,0.001703,0.001703
5,2074.23,1.2064,0.79213,1.16722,0.87271,0.81262,0.87015,0.56215,1.20007,0.70979,1.17002,0.001604,0.001604,0.001604
6,2466.64,1.16699,0.74546,1.147,0.8832,0.80748,0.87735,0.57781,1.17555,0.68252,1.15882,0.001505,0.001505,0.001505
7,2850.35,1.1456,0.7161,1.13488,0.8935,0.8268,0.88993,0.58471,1.19384,0.62681,1.15192,0.001406,0.001406,0.001406
8,3238.9,1.13327,0.68294,1.12151,0.9017,0.84559,0.90612,0.60706,1.14233,0.6072,1.13445,0.001307,0.001307,0.001307
9,3621.08,1.1027,0.66361,1.10783,0.88524,0.85686,0.90164,0.61014,1.11668,0.60665,1.12776,0.001208,0.001208,0.001208
10,4016.68,1.09324,0.64343,1.1082,0.89502,0.85428,0.91203,0.61587,1.11371,0.60089,1.12152,0.001109,0.001109,0.001109
11,4375.03,1.08121,0.59805,1.11908,0.89235,0.85113,0.9047,0.6111,1.10457,0.59735,1.11782,0.00101,0.00101,0.00101
12,4761.02,1.06021,0.57695,1.10797,0.9066,0.86001,0.91645,0.62162,1.10148,0.56553,1.10522,0.000911,0.000911,0.000911
13,5146.98,1.04455,0.56264,1.09984,0.89954,0.87432,0.91797,0.62942,1.0765,0.56743,1.09324,0.000812,0.000812,0.000812
14,5524.15,1.0276,0.5423,1.08843,0.90411,0.87547,0.92494,0.6422,1.06475,0.53814,1.09195,0.000713,0.000713,0.000713
15,5900.6,1.01911,0.52338,1.08252,0.9059,0.87919,0.92355,0.64148,1.06459,0.53069,1.08793,0.000614,0.000614,0.000614
16,6270.78,1.00593,0.51258,1.07401,0.91813,0.87776,0.93029,0.65003,1.05512,0.51083,1.08027,0.000515,0.000515,0.000515
17,6650.97,0.9853,0.49222,1.06264,0.9087,0.88062,0.93268,0.65666,1.04486,0.50274,1.07751,0.000416,0.000416,0.000416
18,7014.79,0.97634,0.48516,1.05729,0.9126,0.88606,0.93352,0.65899,1.03266,0.49721,1.06891,0.000317,0.000317,0.000317
19,7373.13,0.95798,0.46815,1.05131,0.90957,0.89493,0.93654,0.66341,1.02209,0.48251,1.06232,0.000218,0.000218,0.000218
20,7732.6,0.94897,0.45492,1.04283,0.91252,0.89287,0.93897,0.66885,1.01363,0.4769,1.05959,0.000119,0.000119,0.000119
